Year,N_days,RM
1981,3.75426182052,
1982,0.946606625925,
1983,6.56963653908,3.24123512383
1984,2.09102605339,3.58398198778
1985,2.84464458025,4.12151817305
1986,5.46799614024,5.89681569637
1987,3.63428755227,6.05024123512
1988,15.4461241557,6.31810871663
1989,2.85815374719,6.14351881634
1990,4.18398198778,5.65416532647
1991,4.59504663879,3.09681569637
1992,1.18752010293,3.09778063686
1993,2.65937600515,3.22727565133
1994,2.86297844966,2.65049855259
1995,4.83145706015,2.74113862978
1996,1.71116114506,3.67462206497
1997,1.6407204889,4.60964940495
1998,7.32679318109,5.74023801866
1999,7.53811514957,6.38108716629
2000,10.4844001287,7.72441299453
2001,4.91540688324,7.647410743
2002,8.35734963011,6.30627211322
2003,6.94178192345,5.70813766484
2004,0.832422000643,7.08459311676
2005,7.49372788678,8.46336442586
2006,11.7976841428,8.00675458347
2007,15.2512061756,10.7834030235
2008,4.65873271148,12.4310710839
2009,14.7156642007,
2010,15.7320681891,
